UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
PB;Itapororoca;1008318;2,34E+16;NÃO;9731;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;28.55%;17/08/2016;23.08%;18/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PB;João Pessoa;1008320;2,34E+16;NÃO;7806;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;99.02%;11/07/2016;13.76%;14/jul;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
SC;Nova Veneza;1008323;2,34E+16;NÃO;8347;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;100.00%;28/11/2014;54.48%;21/out;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PB;Juarez Távora;1008324;2,34E+16;NÃO;9732;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;42.74%;20/07/2016;30.32%;21/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
PB;Junco do Seridó;1008326;2,34E+16;NÃO;7662;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;21.87%;28/08/2016;20.02%;12/ago;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SC;Pomerode;1008327;2,34E+16;NÃO;10335;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR GRANDE - PROJETO FNDE;Execução;35.69%;27/07/2016;21.75%;28/abr;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
MA;Sítio Novo;1008328;2,34E+16;NÃO;11238;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;57.61%;12/08/2016;1.51%;18/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
PA;Marapanim;1008329;2,34E+16;NÃO;7772;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;60.79%;27/06/2016;25.66%;15/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
PB;Juru;1008330;2,34E+16;NÃO;7807;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;45.09%;25/07/2016;35.48%;08/ago;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RJ;São Pedro da Aldeia;1008331;2,34E+16;NÃO;7689;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;88.83%;08/08/2016;87.72%;17/mai;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
RJ;São Pedro da Aldeia;1008332;2,34E+16;NÃO;7689;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Paralisada;40.81%;03/08/2016;38.86%;12/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
SC;Santa Rosa do Sul;1008333;2,34E+16;NÃO;7632;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;92.56%;28/07/2016;83.23%;26/nov;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
MA;Sucupira do Riachão;1008334;2,34E+16;NÃO;11448;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;18.97%;15/07/2016;17.53%;23/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;NÃO
PB;Lagoa de Dentro;1008337;2,34E+16;NÃO;7663;2013;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Concluída;100.00%;19/10/2015;1.62%;07/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
SC;São Bernardino;1008338;2,34E+16;NÃO;8441;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;75.96%;09/08/2016;71.37%;26/abr;PAULO GAIGA ENGENHARIA LTDA;SIM;NÃO
PB;Lagoa Seca;1008340;2,34E+16;NÃO;9734;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;44.33%;14/07/2016;37.35%;23/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Timon;1008341;2,34E+16;NÃO;8160;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Concluída;99.98%;20/01/2016;89.46%;16/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SC;Siderópolis;1008342;2,34E+16;NÃO;8350;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Execução;90.89%;15/08/2016;61.57%;19/mar;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PB;Logradouro;1008345;2,34E+16;NÃO;7808;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;32.34%;12/08/2016;27.55%;23/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
SC;Sombrio;1008348;2,34E+16;NÃO;8351;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Concluída;99.98%;15/03/2016;86.67%;23/out;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PA;Moju;1008350;2,34E+16;NÃO;7774;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;59.52%;04/07/2016;14.80%;20/mar;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
MA;Urbano Santos;1008354;2,34E+16;NÃO;8162;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;20.51%;16/08/2016;11.47%;17/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;NÃO
MA;Urbano Santos;1008355;2,34E+16;NÃO;8162;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;36.17%;16/08/2016;13.00%;09/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PA;Novo Progresso;1008357;2,34E+16;NÃO;7775;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR GRANDE - PROJETO FNDE;Concluída;100.00%;11/01/2016;96.65%;01/jun;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
SC;Trombudo Central;1008358;2,34E+16;NÃO;8352;2014;Cobertura;PAC2;Municipal;COBERTURA DE QUADRA ESCOLAR PEQUENA - PROJETO FNDE;Concluída;91.73%;26/04/2016;99.78%;23/set;PAULO GAIGA ENGENHARIA LTDA;NÃO;NÃO
PB;Natuba;1008359;2,34E+16;NÃO;9737;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;59.78%;22/08/2016;37.14%;20/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
PB;Natuba;1008360;2,34E+16;SIM;9737;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;16.98%;12/08/2016;13.91%;22/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;NÃO
MA;Vargem Grande;1008361;2,34E+16;NÃO;8163;2014;Quadras;PAC2;Municipal;QUADRA ESCOLAR COBERTA COM VESTIÁRIO- PROJETO FNDE;Execução;76.50%;16/08/2016;56.58%;03/ago;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
