UF;Município;ID;num_processo;Vinculada;Termo/N_Convênio;Ano_Termo/Convênio;Programa;Fonte;Esfera;Tipologia;Situação_da_Obra;perc_informado_munic;Última_Vistoria_Instituição;perc_executado_empresa;Última_Vistoria_Empresa;Empresa;Restrições;Inconformidades
SP;Itararé;1367;2,34E+16;NÃO;830053;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;18/08/2014;99.42%;02/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
CE;São João do Jaguaribe;1370;2,34E+16;NÃO;700022;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;36.97%;17/03/2015;31.87%;14/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Senador Sá;1371;2,34E+16;NÃO;830057;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;23/07/2014;81.74%;26/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PA;Itaituba;1375;2,34E+16;SIM;700027;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;13/11/2014;90.71%;20/out;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RN;Açu;1379;2,34E+16;NÃO;830014;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.07%;05/08/2014;95.32%;18/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Novo Oriente do Piauí;1380;2,34E+16;NÃO;700037;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.98%;18/05/2016;33.56%;17/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Oeiras;1381;2,34E+16;NÃO;700080;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;72.30%;18/07/2016;34.43%;02/abr;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MA;Pirapemas;1386;2,34E+16;NÃO;830030;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;36.99%;16/04/2012;93.90%;14/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MA;Presidente Dutra;1387;2,34E+16;NÃO;830273;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/08/2014;86.25%;13/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Caconde;1393;2,34E+16;NÃO;830352;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;28/02/2011;100.01%;19/jun;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
PA;Goianésia do Pará;1396;2,34E+16;SIM;700130;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;70.01%;09/08/2016;80.60%;26/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
PI;Colônia do Gurguéia;1397;2,34E+16;NÃO;700074;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;26/11/2015;83.54%;04/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Porteirinha;1400;2,34E+16;NÃO;830143;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;20/11/2009;88.08%;22/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
MG;Poté;1401;2,34E+16;NÃO;830123;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;92.10%;23/12/2014;84.50%;19/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RN;Fernando Pedroza;1408;2,34E+16;NÃO;710117;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;01/04/2013;95.01%;24/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Jaguaribara;1409;2,34E+16;NÃO;700031;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;95.19%;26/06/2015;96.25%;20/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Sacramento;1413;2,34E+16;SIM;710274;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;05/01/2016;57.47%;19/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
RN;Jandaíra;1415;2,34E+16;NÃO;700021;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;83.35%;15/04/2015;75.66%;20/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Anhumas;1418;2,34E+16;NÃO;710232;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/04/2012;99.46%;15/mar;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
PE;Pesqueira;1419;2,34E+16;NÃO;830004;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;87.34%;08/07/2014;84.05%;26/nov;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
MG;Arceburgo;1421;2,34E+16;NÃO;830295;2007;PROINFÂNCIA;EMENDAS;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;24/03/2010;91.91%;17/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RN;Lagoa de Pedras;1428;2,34E+16;NÃO;700013;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;03/09/2014;91.05%;18/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RN;Macaíba;1430;2,34E+16;SIM;830096;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/03/2015;73.56%;20/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
AL;Ouro Branco;1431;2,34E+16;NÃO;700034;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;02/08/2015;90.06%;11/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
TO;Formoso do Araguaia;1432;2,34E+16;NÃO;830103;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;89.31%;23/11/2015;79.28%;20/nov;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Curralinhos;1434;2,34E+16;NÃO;710278;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;96.54%;03/06/2014;94.25%;19/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RN;Lucrécia;1435;2,34E+16;NÃO;830008;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.24%;03/11/2015;93.26%;16/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RN;Major Sales;1436;2,34E+16;NÃO;830013;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.27%;04/09/2012;90.01%;17/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Ouro Fino;1439;2,34E+16;SIM;830151;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;03/12/2014;50.49%;29/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
MG;Pará de Minas;1442;2,34E+16;NÃO;710115;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;23/04/2015;97.69%;21/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
CE;Aracoiaba;1443;2,34E+16;NÃO;830282;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;08/08/2011;92.56%;18/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Paraisópolis;1444;2,34E+16;NÃO;830287;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;38.07%;27/03/2015;25.16%;13/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Patos de Minas;1446;2,34E+16;NÃO;830212;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;26/03/2014;93.91%;13/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Barão de Antonina;1449;2,34E+16;NÃO;710158;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;24/01/2014;96.56%;02/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
PI;Parnaíba;1450;2,34E+16;NÃO;830248;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/12/2013;81.53%;04/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PI;Prata do Piauí;1451;2,34E+16;NÃO;830118;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;24/09/2010;94.27%;08/abr;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Bebedouro;1455;2,34E+16;NÃO;830317;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;26/11/2010;98.90%;12/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
BA;Sátiro Dias;1459;2,34E+16;NÃO;700024;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;12/11/2015;90.46%;14/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;NÃO
CE;Bela Cruz;1461;2,34E+16;NÃO;710045;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;04/12/2012;92.95%;23/abr;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Camocim;1463;2,34E+16;NÃO;830032;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/06/2015;97.53%;18/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PA;Vitória do Xingu;1464;2,34E+16;NÃO;700030;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;01/03/2016;99.87%;31/mai;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
CE;Barbalha;1465;2,34E+16;NÃO;830066;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;16/04/2014;87.01%;22/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
SP;Boituva;1470;2,34E+16;NÃO;710061;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/06/2012;100.00%;16/jun;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
MG;Estrela do Indaiá;1472;2,34E+16;NÃO;710162;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;10/08/2011;100.16%;20/nov;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
SC;Herval d'Oeste;1476;2,34E+16;NÃO;830161;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;10/12/2013;99.86%;13/nov;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
RS;São Miguel das Missões;1478;2,34E+16;NÃO;710193;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;30/07/2014;99.00%;22/out;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RS;São Pedro do Sul;1479;2,34E+16;NÃO;700007;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;12/11/2012;98.67%;30/jun;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RS;Sapucaia do Sul;1481;2,34E+16;NÃO;710135;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;93.18%;18/04/2016;86.73%;12/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
MG;Capitólio;1482;2,34E+16;NÃO;710036;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;24/09/2014;98.29%;24/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
PB;Pedras de Fogo;1486;2,34E+16;NÃO;700113;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;0.00%;03/08/2014;2.32%;26/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
BA;Macaúbas;1487;2,34E+16;NÃO;700010;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;24/02/2012;100.00%;09/mar;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RS;Sobradinho;1490;2,34E+16;NÃO;830010;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/12/2011;99.55%;27/ago;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
RS;Teutônia;1494;2,34E+16;NÃO;700092;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;02/09/2011;99.69%;28/ago;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
GO;Serranópolis;1495;2,34E+16;NÃO;710090;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;98.45%;15/02/2011;95.42%;25/ago;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
PB;Rio Tinto;1496;2,34E+16;SIM;700017;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;79.47%;28/07/2016;51.01%;24/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
ES;São Mateus;1499;2,34E+16;NÃO;830246;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/09/2012;100.01%;05/dez;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
GO;Simolândia;1501;2,34E+16;NÃO;700061;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;14/08/2012;94.94%;30/mai;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
GO;Aparecida do Rio Doce;1502;2,34E+16;NÃO;710049;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;95.03%;29/01/2011;94.06%;25/ago;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
SP;Várzea Paulista;1503;2,34E+16;NÃO;710149;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;26/12/2012;95.23%;07/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
MG;Formiga;1506;2,34E+16;NÃO;830093;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/08/2012;92.25%;16/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
RJ;Carmo;1508;2,34E+16;NÃO;710284;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;19/06/2013;93.13%;19/mai;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
MG;Taiobeiras;1511;2,34E+16;NÃO;830094;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;29/11/2011;97.06%;18/nov;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
SP;Tarumã;1513;2,34E+16;NÃO;830312;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.88%;25/04/2015;99.21%;26/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
MG;Frutal;1514;2,34E+16;NÃO;830377;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;15/04/2014;98.39%;28/nov;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MG;Gouveia;1515;2,34E+16;SIM;710089;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;95.14%;10/12/2015;58.48%;16/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Guaraciama;1516;2,34E+16;NÃO;710277;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;60.88%;11/03/2015;53.13%;04/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
PB;Cabedelo;1523;2,34E+16;NÃO;830131;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.99%;14/07/2014;90.85%;29/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
SE;Siriri;1524;2,34E+16;NÃO;700068;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;05/12/2014;50.69%;17/dez;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
SE;Tobias Barreto;1525;2,34E+16;NÃO;700072;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/06/2014;92.07%;14/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
RS;Três de Maio;1527;2,34E+16;SIM;710300;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;23/03/2015;99.73%;19/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
RS;Veranópolis;1530;2,34E+16;NÃO;710142;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.98%;22/04/2016;98.94%;20/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
PB;São Bento;1532;2,34E+16;NÃO;700039;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;08/09/2011;94.88%;16/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MG;Luminárias;1533;2,34E+16;NÃO;830402;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;11/10/2011;92.60%;19/ago;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
GO;Santo Antônio da Barra;1536;2,34E+16;NÃO;830344;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;22/01/2010;99.48%;09/jun;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
GO;Guaraíta;1537;2,34E+16;NÃO;710026;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;99.97%;16/02/2016;69.99%;27/abr;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
GO;Valparaíso de Goiás;1538;2,34E+16;NÃO;710216;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;17/04/2013;91.88%;25/mai;PAULO GAIGA ENGENHARIA LTDA;NÃO;SIM
GO;Águas Lindas de Goiás;1539;2,34E+16;SIM;700044;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;30/11/2015;63.47%;10/out;PAULO GAIGA ENGENHARIA LTDA;SIM;SIM
MG;Claro dos Poções;1540;2,34E+16;NÃO;830425;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;25/06/2014;84.15%;20/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
MG;Conceição do Rio Verde;1541;2,34E+16;NÃO;830164;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;43.67%;22/06/2015;48.59%;28/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Conselheiro Pena;1544;2,34E+16;NÃO;710151;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;97.84%;02/07/2014;81.03%;22/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
BA;Ibicaraí;1545;2,34E+16;NÃO;700049;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;87.25%;15/07/2015;84.76%;19/mar;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
AL;Poço das Trincheiras;1551;2,34E+16;NÃO;700065;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;15/08/2013;99.33%;10/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
MG;Ubaí;1552;2,34E+16;NÃO;830292;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;04/06/2014;94.38%;11/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Guimarânia;1556;2,34E+16;NÃO;710003;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;27/06/2013;92.24%;31/mar;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Ibiá;1557;2,34E+16;NÃO;710059;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;21/03/2014;92.92%;12/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
RJ;Resende;1560;2,34E+16;NÃO;830257;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;10/12/2014;94.87%;17/dez;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
MG;Bonfinópolis de Minas;1562;2,34E+16;NÃO;700082;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;01/04/2014;88.38%;10/set;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MG;Santos Dumont;1566;2,34E+16;NÃO;830062;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;56.90%;27/02/2015;52.76%;27/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
ES;Alfredo Chaves;1568;2,34E+16;NÃO;710205;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;18/05/2012;97.67%;02/abr;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
ES;Aracruz;1569;2,34E+16;SIM;710161;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;63.67%;08/08/2016;66.92%;17/jul;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;NÃO
MG;Bambuí;1570;2,34E+16;SIM;710167;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;98.39%;15/04/2016;54.74%;11/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
MG;Bandeira do Sul;1571;2,34E+16;NÃO;830236;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;13/02/2012;92.54%;18/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
AM;Presidente Figueiredo;1572;2,34E+16;NÃO;700038;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;98.32%;30/03/2015;87.37%;30/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;SIM;SIM
PI;Anísio de Abreu;1577;2,34E+16;NÃO;700098;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Execução;92.41%;24/08/2016;44.68%;04/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;SIM
CE;Mauriti;1578;2,34E+16;NÃO;700063;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;50.21%;25/06/2014;43.95%;20/jan;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Nova Russas;1579;2,34E+16;NÃO;710148;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;40.38%;05/08/2014;31.75%;05/dez;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
CE;Palmácia;1581;2,34E+16;NÃO;830452;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;26.83%;06/06/2012;7.49%;04/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
RO;Ouro Preto do Oeste;1583;2,34E+16;NÃO;710262;2008;PROINFÂNCIA;CONVENIO;Municipal;MI - Escola de Educação Infantil Tipo B;Planejamento pelo proponente;0.00%;01/09/2013;0.00%;19/dez;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;NÃO
RO;Vilhena;1584;2,34E+16;SIM;710165;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;30/09/2014;99.99%;26/set;CONCREMAT ENGENHARIA E TECNOLOGIA S/A;NÃO;SIM
MG;Bertópolis;1585;2,34E+16;NÃO;830235;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Inacabada;90.13%;18/05/2016;73.25%;02/fev;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Boa Esperança;1586;2,34E+16;NÃO;710110;2008;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;97.92%;30/10/2010;97.04%;16/mai;DERVISH ENGENHARIA & CONSULTORIA LTDA.;SIM;SIM
MG;Bocaiúva;1587;2,34E+16;NÃO;830363;2007;PROINFÂNCIA;CONVENIO;Municipal;Escola de Educação Infantil Tipo B;Concluída;100.00%;31/07/2013;97.18%;03/out;DERVISH ENGENHARIA & CONSULTORIA LTDA.;NÃO;NÃO
