"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1017633;"ESCOLA MUNICIPAL DO RIBEIRÃO - Anagé - BA";"BARRAGEM";"Anagé";"BA";77,11;"atrasada";854335,082792298;"(10544471000114) CONSTRUTORA & SERVICOS BOM JARDIM LTDA"
1017637;"POV. SERROTE - Ipecaetá - BA";"LOTEAMENTO NOVO, POV. DO SERROTE";"Ipecaetá";"BA";30,26;"atrasada";240050,153902451;"(05890507000181) COMERCIAL TEIXEIRA DE JESUS LTDA."
1017642;"Escola Municipal Dois de Julho  de Icó - Morro do Chapéu - BA";"Rua da Educação";"Morro do Chapéu";"BA";26,57;"atrasada";276058,230521018;"(03434720000153) ABC CONSTRUCAO CIVIL LTDA"
1017653;"E.M POVOADO QUADRA 35 DO LIMÃO - Centro Novo do Maranhão - MA";"RUA LIMÃO";"Centro Novo do Maranhão";"MA";59,04;"atrasada";541549,264934056;"(11093344000109) VIAMAC - SERVICOS DE LOGISTICA E MANUTENCAO LTDA"
1017661;"Bairro Renascer - Junco do Maranhão - MA";"Rua Santo Antônio";"Junco do Maranhão";"MA";37,9;"atrasada";455206,883406241;"(07544405000130) J B CONSTRUCOES LTDA-ME"
1017662;"POVOADO SOZINHO - Matões do Norte - MA";"RUA PRINCIPAL DO POVOADO";"Matões do Norte";"MA";60,01;"atrasada";307558,862738816;"(07181422000150) PEREIRA & LOBO LTDA"
1017663;"E. M. BAIRRO NOVO TEMPO - Matões do Norte - MA";"AVENIDA MATÕES DO NORTE";"Matões do Norte";"MA";35,02;"atrasada";956991,171230714;"(08277932000198) DELTA PROJETOS E CONSTRUCOES LTDA."
1017666;"POV. BRIDO - Palmeirândia - MA";"RUA PRINCIPAL";"Palmeirândia";"MA";25,14;"atrasada";199498,602429651;"(11896384000199) M3C CONSTRUTORA LTDA - EPP"
1017671;"Bairro de Fátima - São Domingos do Azeitão - MA";"Rua São José";"São Domingos do Azeitão";"MA";35,99;"atrasada";235096,833655033;"(73759656000166) ALBERTO SOUSA ENGENHARIA INDUSTRIA E COMERCIO LTDA"
1017696;"ESCOLA MUNICIPAL 4 SALAS - Esperantina - PI";"RUA JOSE FRANCO";"Esperantina";"PI";37,18;"atrasada";388564,760237454;"(09300797000117) URBITECH SERVICOS TECNICOS LTDA"
1017697;"ESCOLA MUNICIPAL 4 SALAS - ALECRIM - Esperantina - PI";"RUA PROFESSORA DULCELENE CHAVES";"Esperantina";"PI";82,05;"atrasada";888148,011622594;"(03468732000107) NELMAN REPRESENTACOES LTDA"
1017700;"ESCOLA BOM FIM ALTO - Bom Princípio - RS";"RUA A";"Bom Princípio";"RS";97,06;"atrasada";1029099,04570835;"(12085614000100) CONSTRUTORA BOM PRINCIPIO LTDA - ME"
1017701;"ESCOLA BELA VISTA - Bom Princípio - RS";"RUA A ";"Bom Princípio";"RS";96,14;"atrasada";1007435,11861506;"(04025646000184) RUBEM ENEDIR MACHADO SILVEIRA"
1017706;"TERRENO 12 DE OUTUBRO - Marapanim - PA";"RUA PRINCIPAL";"Marapanim";"PA";20,49;"atrasada";277349,329043654;"(18939097000168) LUIZ  ALBERTO ARAUJO LIMA  EIRELI - EPP"
1017707;"Escola Diogo Henderson - Moju - PA";"Ramal Jupuuba";"Moju";"PA";75,95;"atrasada";616915,342210014;"(10600932000129) CONSTRUTORA TELHANORTE LTDA"
1017710;"Rio Tartaruga - Santa Cruz do Arari - PA";"Rio Tartaruga";"Santa Cruz do Arari";"PA";0;"atrasada";203376,212176402;"(13911603000197) CONSTROI COM E SERVICO LTDA  - ME"
1017713;"Assentamento Quandú - Barra de Santa Rosa - PB";"Rua Projetada";"Barra de Santa Rosa";"PB";36,59;"atrasada";108230,956839883;"(18920924000171) MATRIX CONSTRUTORA LTDA - EPP"
1017727;"Horizonte - Guapirama - PR";"RUA A";"Guapirama";"PR";99,17;"atrasada";1118205,18355942;"(10704562000170) ALMEIDA GROUP DISTRIBUICAO DE MATERIAIS DE CONSTRUCAO LTDA."
1017767;"DEUS PROVERÁ - Amaturá - AM";"RUA DEUS PROVERÁ";"Amaturá";"AM";36,62;"atrasada";55372,560946154;"(12258865000131) MEGA SERVICOS LTDA - EPP"
1017768;"N0VA JESUANIA - Amaturá - AM";"RUA SOUZA NEVES";"Amaturá";"AM";36,62;"atrasada";55372,560946154;"(12258865000131) MEGA SERVICOS LTDA - EPP"
1017769;"COMUNIDADE BOM PASTOR - Amaturá - AM";"RUA DO CAMPO";"Amaturá";"AM";36,51;"atrasada";55673,209806031;"(12258865000131) MEGA SERVICOS LTDA - EPP"
