"ID";"Nome";"Logradouro";"Município";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1009718;"Estância da Penha - Campos dos Goytacazes - RJ";"RUA II / RUA X / RUA XI / RUA DR. JOSÉ MACHADO PINHEIRO ";"Campos dos Goytacazes";0;"paralisada";429613,12389732;NA
1011092;"Cheche Boa Vista - São Gonçalo - RJ";"Avenida Governador Macedo Soares,N 3210,3211,3212,3213,3332,3331";"São Gonçalo";0;"paralisada";NA;NA
1011095;"PAC 2 - CRECHE/PRÉ-ESCOLA CALIFÓRNIA - São Gonçalo - RJ";"Rua Colon Braga lt 11, 12 e 21";"São Gonçalo";0;"paralisada";NA;NA
1011097;"PAC 2 - CRECHE/PRÉ-ESCOLA  VILA LAGE - São Gonçalo - RJ";"Rua Lúcio Tomé Feteira";"São Gonçalo";0;"paralisada";NA;NA
1011099;"PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Barra do Piraí - RJ";"RUA SEBASTIAO PEREIRA (ANTIGA RUA 20)";"Barra do Piraí";0;"paralisada";243894,297071204;NA
1012822;"BELFORD ROXO - Belford Roxo - RJ";"Rua Marinalva Souza da Silva";"Belford Roxo";0;"paralisada";NA;NA
1012825;"Santa Paula";"Rua 20 QD:39  ";"Maricá";0;"paralisada";NA;NA
1012826;"Área PMRC Fazenda da Grama - Rio Claro - RJ";"Rua Tereza Catarina";"Rio Claro";8,23;"paralisada";477206,494112175;NA
1014576;"CRECHE GUAXINDIBA - São Gonçalo - RJ";"Rua Dona Antônia Couto";"São Gonçalo";0;"paralisada";NA;NA
1014577;"CRECHE PORTO NOVO  - São Gonçalo - RJ";"Rua Monsenhor Reed";"São Gonçalo";0;"paralisada";NA;NA
1016249;"Creche Proinfância 2015 - bairro Rodilândia";"Rua Antônio Cláudio Loureiro";"Nova Iguaçu";0;"paralisada";NA;NA
1016251;"Creche Proinfância 2015 - Bairro da Luz";"Rua Castro Alves";"Nova Iguaçu";0;"paralisada";NA;NA
1016508;"PAC 2 - CRECHE/PRÉ-ESCOLA 003 - Barra Mansa - RJ";"Rua Vereador Antenor Rocha";"Barra Mansa";0;"paralisada";NA;NA
1017103;"Creche Proinfância 2015 - bairro Cabuçu / Av. Taquaretinga";"Rua Mirai";"Nova Iguaçu";0;"paralisada";NA;NA
1017785;"Creche Municipal Primeiros Passos";"Estrada do Bananal";"Guapimirim";0;"paralisada";NA;NA
1018875;"Creche Santa Isabel - São Gonçalo - RJ";"Estrada Serrinha de Cordeiro";"São Gonçalo";4;"paralisada";133071,944911877;NA
