"Município";"UF";"total_obras";"gasto_total_mi";"obras_atrasadas";"perc_atrasada";"gasto_atrasadas_mi";"obras_paralisadas";"perc_paralisada";"gasto_paralisadas_mi"
"Ribeirão do Largo";"BA";1;0,99;0;0;NA;1;1;0,99
"Ribeirão Preto";"SP";3;1,29;0;0;NA;NA;NA;NA
"Ribeirão Vermelho";"MG";1;1,49;0;0;NA;1;1;1,49
"Rio Azul";"PR";1;0,81;0;0;NA;NA;NA;NA
"Rio Bonito";"RJ";2;0,94;0;0;NA;2;1;0,94
"Rio Branco";"AC";9;9,86;5;0,56;6,57;1;0,11;1,72
"Rio Branco do Sul";"PR";2;1,19;0;0;NA;2;1;1,19
"Rio Claro";"SP";3;1,1;0;0;NA;NA;NA;NA
"Rio da Conceição";"TO";1;0,41;0;0;NA;1;1;0,41
"Rio das Flores";"RJ";1;1,09;0;0;NA;1;1;1,09
"Rio das Ostras";"RJ";4;2,25;0;0;NA;2;0,5;0,84
"Rio das Pedras";"SP";1;0,46;0;0;NA;NA;NA;NA
"Rio de Janeiro";"RJ";15;8,06;0;0;NA;2;0,13;1,45
"Rio do Pires";"BA";1;0,7;0;0;NA;NA;NA;NA
"Rio do Sul";"SC";1;0,45;0;0;NA;NA;NA;NA
"Rio Grande";"RS";9;9,08;5;0,56;5,11;NA;NA;NA
"Rio Grande do Piauí";"PI";1;0,37;0;0;NA;NA;NA;NA
"Rio Largo";"AL";2;1,51;0;0;NA;NA;NA;NA
"Rio Negro";"PR";1;1,41;0;0;NA;NA;NA;NA
"Rio Paranaíba";"MG";2;1,71;0;0;NA;NA;NA;NA
"Rio Pardo";"RS";1;0,54;0;0;NA;NA;NA;NA
"Rio Pardo de Minas";"MG";2;3,6;1;0,5;1,85;NA;NA;NA
"Rio Piracicaba";"MG";1;0,43;0;0;NA;1;1;0,43
"Rio Preto da Eva";"AM";1;0,78;0;0;NA;1;1;0,78
"Rio Tinto";"PB";1;1,03;0;0;NA;NA;NA;NA
"Rio Verde";"GO";7;9,9;2;0,29;5,08;1;0,14;1,06
"Rodeio Bonito";"RS";1;1,91;1;1;1,91;NA;NA;NA
"Rodelas";"BA";1;0,51;0;0;NA;NA;NA;NA
"Rodrigues Alves";"AC";1;0,5;0;0;NA;NA;NA;NA
"Rolândia";"PR";1;1,46;0;0;NA;NA;NA;NA
"Rolim de Moura";"RO";3;4,28;0;0;NA;NA;NA;NA
"Rondinha";"RS";1;4,06;0;0;NA;NA;NA;NA
"Rondon do Pará";"PA";2;2,32;0;0;NA;NA;NA;NA
"Rosário";"MA";1;1,06;1;1;1,06;NA;NA;NA
"Rosário do Catete";"SE";2;1,37;2;1;1,37;NA;NA;NA
"Rosário do Sul";"RS";3;1,9;0;0;NA;1;0,33;0,94
"Russas";"CE";2;1,59;1;0,5;0,51;NA;NA;NA
"Ruy Barbosa";"BA";5;1,85;0;0;NA;NA;NA;NA
"Sabará";"MG";5;1,82;1;0,2;0,59;4;0,8;1,23
"Sabinópolis";"MG";1;0,79;0;0;NA;NA;NA;NA
"Saboeiro";"CE";1;0,77;1;1;0,77;NA;NA;NA
"Sagres";"SP";1;1,94;0;0;NA;1;1;1,94
"Salete";"SC";1;1,11;1;1;1,11;NA;NA;NA
"Salgadinho";"PB";1;1,83;0;0;NA;1;1;1,83
"Salgadinho";"PE";1;0,42;1;1;0,42;NA;NA;NA
"Salgado de São Félix";"PB";1;0,77;0;0;NA;1;1;0,77
"Salgueiro";"PE";3;1,29;0;0;NA;NA;NA;NA
"Salinas";"MG";1;0,93;1;1;0,93;NA;NA;NA
"Salinópolis";"PA";5;1,97;0;0;NA;NA;NA;NA
"Salitre";"CE";1;1,49;0;0;NA;1;1;1,49
"Saloá";"PE";1;0,23;0;0;NA;1;1;0,23
"Salto";"SP";1;0,47;0;0;NA;NA;NA;NA
"Salto do Céu";"MT";1;0,38;0;0;NA;NA;NA;NA
"Salvador";"BA";15;6,79;0;0;NA;9;0,6;4,03
"Salvaterra";"PA";1;1,27;0;0;NA;NA;NA;NA
"Sananduva";"RS";1;1,07;0;0;NA;1;1;1,07
"Sanclerlândia";"GO";1;0,8;0;0;NA;NA;NA;NA
"Sandolândia";"TO";1;0,94;0;0;NA;1;1;0,94
"Sangão";"SC";1;1,5;0;0;NA;NA;NA;NA
"Santa Bárbara";"BA";1;0,97;0;0;NA;NA;NA;NA
"Santa Bárbara";"MG";1;1,57;0;0;NA;NA;NA;NA
"Santa Bárbara d'Oeste";"SP";2;1,79;0;0;NA;2;1;1,79
"Santa Cruz";"RN";1;1,7;0;0;NA;NA;NA;NA
"Santa Cruz Cabrália";"BA";1;0,57;0;0;NA;NA;NA;NA
"Santa Cruz da Baixa Verde";"PE";1;0,68;0;0;NA;NA;NA;NA
"Santa Cruz de Goiás";"GO";1;0,85;0;0;NA;1;1;0,85
"Santa Cruz de Minas";"MG";2;1,41;0;0;NA;NA;NA;NA
"Santa Cruz do Arari";"PA";4;0,93;0;0;NA;4;1;0,93
"Santa Cruz do Capibaribe";"PE";3;1,38;0;0;NA;NA;NA;NA
"Santa Efigênia de Minas";"MG";1;1,03;0;0;NA;NA;NA;NA
"Santa Ernestina";"SP";1;0,17;0;0;NA;1;1;0,17
"Santa Fé do Araguaia";"TO";3;1,78;3;1;1,78;NA;NA;NA
"Santa Filomena";"PE";1;0,42;0;0;NA;NA;NA;NA
"Santa Filomena do Maranhão";"MA";4;1,32;0;0;NA;4;1;1,32
"Santa Helena";"MA";3;0,56;2;0,67;0,5;1;0,33;0,06
"Santa Helena";"PB";1;0,17;0;0;NA;NA;NA;NA
"Santa Helena de Goiás";"GO";2;0,87;2;1;0,87;NA;NA;NA
"Santa Helena de Minas";"MG";1;0,43;0;0;NA;1;1;0,43
"Santa Inês";"MA";4;1,31;1;0,25;0,48;NA;NA;NA
"Santa Inês";"PR";2;0,73;0;0;NA;2;1;0,73
"Santa Isabel";"GO";1;0,42;0;0;NA;NA;NA;NA
"Santa Isabel do Pará";"PA";2;2,21;0;0;NA;NA;NA;NA
"Santa Izabel do Oeste";"PR";1;1,4;0;0;NA;NA;NA;NA
"Santa Lúcia";"SP";1;1,26;0;0;NA;NA;NA;NA
"Santa Luzia";"BA";1;1,01;0;0;NA;1;1;1,01
"Santa Luzia";"MA";2;1,02;0;0;NA;2;1;1,02
"Santa Luzia D'Oeste";"RO";1;0,28;0;0;NA;NA;NA;NA
"Santa Luzia do Pará";"PA";3;3,41;0;0;NA;1;0,33;1,04
"Santa Maria";"RS";13;8,57;1;0,08;1,03;8;0,62;4,61
"Santa Maria da Boa Vista";"PE";3;2,51;0;0;NA;2;0,67;2,24
"Santa Maria da Vitória";"BA";2;1,93;0;0;NA;NA;NA;NA
"Santa Maria das Barreiras";"PA";1;1,09;0;0;NA;NA;NA;NA
"Santa Maria do Cambucá";"PE";1;0,41;0;0;NA;1;1;0,41
"Santa Mônica";"PR";1;0,42;0;0;NA;NA;NA;NA
"Santa Quitéria";"CE";1;0,62;1;1;0,62;NA;NA;NA
"Santa Quitéria do Maranhão";"MA";10;4,04;8;0,8;2,17;2;0,2;1,87
"Santa Rita";"MA";2;0,34;2;1;0,34;NA;NA;NA
"Santa Rita";"PB";5;3,98;0;0;NA;5;1;3,98
"Santa Rita do Pardo";"MS";1;0,81;0;0;NA;1;1;0,81
"Santa Rita do Trivelato";"MT";1;0,66;0;0;NA;NA;NA;NA
"Santa Rosa";"RS";2;4,02;1;0,5;3,55;NA;NA;NA
"Santa Rosa do Purus";"AC";1;0,33;1;1;0,33;NA;NA;NA
"Santa Rosa do Tocantins";"TO";1;1,24;0;0;NA;1;1;1,24
"Santa Tereza do Oeste";"PR";1;1,54;1;1;1,54;NA;NA;NA
"Santa Terezinha";"MT";1;0,96;0;0;NA;NA;NA;NA
"Santa Terezinha";"PE";1;1,83;0;0;NA;1;1;1,83
"Santa Terezinha do Tocantins";"TO";1;0,63;0;0;NA;NA;NA;NA
"Santa Vitória do Palmar";"RS";1;0,25;0;0;NA;1;1;0,25
"Santana";"AP";5;2,45;0;0;NA;2;0,4;1,08
"Santana";"BA";1;1,3;0;0;NA;NA;NA;NA
"Santana da Boa Vista";"RS";1;1,25;0;0;NA;1;1;1,25
"Santana de Pirapama";"MG";1;0,82;0;0;NA;1;1;0,82
"Santana do Acaraú";"CE";2;0,89;0;0;NA;NA;NA;NA
"Santana do Araguaia";"PA";5;4,78;3;0,6;2,58;2;0,4;2,2
"Santana do Cariri";"CE";1;0,62;0;0;NA;NA;NA;NA
"Santana do Livramento";"RS";6;3,81;2;0,33;0,09;3;0,5;3,66
"Santana do Manhuaçu";"MG";1;0,31;0;0;NA;NA;NA;NA
"Santana do Seridó";"RN";1;0,8;0;0;NA;1;1;0,8
"Santarém";"PA";15;12,47;2;0,13;1,7;7;0,47;5,63
"Santiago";"RS";2;1,89;1;0,5;1,49;NA;NA;NA
"Santo Amaro";"BA";1;0,98;0;0;NA;1;1;0,98
"Santo Amaro do Maranhão";"MA";6;1,7;5;0,83;1,52;NA;NA;NA
"Santo André";"PB";1;0,35;1;1;0,35;NA;NA;NA
"Santo Ângelo";"RS";2;1,51;0;0;NA;NA;NA;NA
"Santo Antônio da Alegria";"SP";1;0,83;0;0;NA;NA;NA;NA
"Santo Antônio das Missões";"RS";1;0,24;0;0;NA;NA;NA;NA
"Santo Antônio de Goiás";"GO";1;0,41;0;0;NA;NA;NA;NA
"Santo Antônio do Amparo";"MG";1;0,46;0;0;NA;NA;NA;NA
"Santo Antônio do Descoberto";"GO";2;2,32;0;0;NA;2;1;2,32
"Santo Antônio do Içá";"AM";6;2,35;2;0,33;0,42;NA;NA;NA
"Santo Antônio do Leverger";"MT";1;1,47;0;0;NA;NA;NA;NA
"Santo Antônio do Monte";"MG";2;0,83;0;0;NA;1;0,5;0,48
"Santo Antônio do Sudoeste";"PR";2;2,43;2;1;2,43;NA;NA;NA
"Santo Antônio do Tauá";"PA";1;0,25;0;0;NA;1;1;0,25
"Santo Estêvão";"BA";2;1,83;1;0,5;0,91;1;0,5;0,91
"Santo Hipólito";"MG";1;1,11;0;0;NA;1;1;1,11
"Santos Dumont";"MG";1;1,11;0;0;NA;1;1;1,11
"São Benedito";"CE";2;2,85;2;1;2,85;NA;NA;NA
"São Benedito do Rio Preto";"MA";3;2,82;0;0;NA;3;1;2,82
"São Benedito do Sul";"PE";1;0,92;0;0;NA;1;1;0,92
"São Bento";"MA";8;1,31;7;0,88;1,05;NA;NA;NA
"São Bento do Una";"PE";1;0,42;0;0;NA;NA;NA;NA
"São Bernardo";"MA";1;1,79;0;0;NA;1;1;1,79
"São Bernardo do Campo";"SP";5;64,12;0;0;NA;3;0,6;60,67
"São Borja";"RS";1;1,05;1;1;1,05;NA;NA;NA
"São Caetano de Odivelas";"PA";2;1,29;0;0;NA;NA;NA;NA
"São Caitano";"PE";2;1,28;2;1;1,28;NA;NA;NA
"São Carlos";"SP";2;1,04;0;0;NA;NA;NA;NA
"São Desidério";"BA";2;3,07;2;1;3,07;NA;NA;NA
"São Domingos";"BA";1;0,83;0;0;NA;NA;NA;NA
"São Domingos";"GO";1;1,31;0;0;NA;NA;NA;NA
"São Domingos";"SE";1;0,27;0;0;NA;1;1;0,27
"São Domingos do Araguaia";"PA";4;2,6;0;0;NA;1;0,25;0,6
"São Domingos do Capim";"PA";2;3,43;0;0;NA;2;1;3,43
"São Domingos do Maranhão";"MA";5;1,85;0;0;NA;NA;NA;NA
"São Domingos do Norte";"ES";1;1,47;0;0;NA;1;1;1,47
"São Domingos do Prata";"MG";1;0,4;0;0;NA;NA;NA;NA
"São Félix de Minas";"MG";1;0,32;0;0;NA;NA;NA;NA
"São Félix do Araguaia";"MT";1;0,54;0;0;NA;NA;NA;NA
"São Félix do Piauí";"PI";1;0,57;0;0;NA;1;1;0,57
"São Félix do Tocantins";"TO";1;0,68;1;1;0,68;NA;NA;NA
"São Félix do Xingu";"PA";5;3,29;0;0;NA;2;0,4;1,05
"São Francisco";"MG";4;1,96;3;0,75;1,57;NA;NA;NA
"São Francisco de Paula";"RS";2;1,14;0;0;NA;1;0,5;0,89
"São Francisco de Sales";"MG";1;0,85;0;0;NA;1;1;0,85
"São Francisco do Brejão";"MA";1;0,89;0;0;NA;1;1;0,89
"São Francisco do Conde";"BA";1;0,98;0;0;NA;1;1;0,98
"São Francisco do Maranhão";"MA";7;1,36;2;0,29;0,72;NA;NA;NA
"São Francisco do Piauí";"PI";5;2,42;3;0,6;1,71;NA;NA;NA
"São Francisco do Sul";"SC";1;0,39;0;0;NA;1;1;0,39
"São Gabriel";"BA";1;1,38;0;0;NA;NA;NA;NA
"São Gabriel";"RS";3;1,76;0;0;NA;1;0,33;0,24
"São Gabriel da Cachoeira";"AM";2;2,33;0;0;NA;2;1;2,33
"São Geraldo";"MG";1;1,86;0;0;NA;NA;NA;NA
"São Gonçalo";"RJ";7;1,75;0;0;NA;1;0,14;0,18
"São Gonçalo do Abaeté";"MG";1;1,9;0;0;NA;1;1;1,9
"São Gonçalo do Amarante";"CE";1;1,44;0;0;NA;NA;NA;NA
"São Gonçalo do Amarante";"RN";1;1,52;0;0;NA;NA;NA;NA
"São Gonçalo do Sapucaí";"MG";1;0,47;0;0;NA;NA;NA;NA
"São Gotardo";"MG";1;0,1;0;0;NA;NA;NA;NA
"São Jerônimo da Serra";"PR";1;1,16;1;1;1,16;NA;NA;NA
"São João Batista";"MA";1;1,04;0;0;NA;NA;NA;NA
"São João Batista";"SC";1;1,73;1;1;1,73;NA;NA;NA
"São João Batista do Glória";"MG";1;1,11;0;0;NA;1;1;1,11
"São João da Ponta";"PA";1;0,42;1;1;0,42;NA;NA;NA
"São João da Ponte";"MG";5;3,58;0;0;NA;NA;NA;NA
"São João das Missões";"MG";1;1,81;0;0;NA;NA;NA;NA
"São João de Iracema";"SP";1;0,42;0;0;NA;NA;NA;NA
"São João de Pirabas";"PA";4;2,29;1;0,25;0,85;NA;NA;NA
"São João del Rei";"MG";5;2,32;4;0,8;1,59;1;0,2;0,73
"São João do Araguaia";"PA";4;2,1;0;0;NA;1;0,25;0,15
"São João do Carú";"MA";5;1,85;0;0;NA;5;1;1,85
"São João do Pacuí";"MG";1;0,91;0;0;NA;NA;NA;NA
"São João do Paraíso";"MG";1;1,21;0;0;NA;NA;NA;NA
"São João do Piauí";"PI";2;0,94;0;0;NA;1;0,5;0,45
"São João do Soter";"MA";2;0,14;0;0;NA;NA;NA;NA
"São João dos Patos";"MA";2;0,62;0;0;NA;1;0,5;0,33
"São Joaquim";"SC";1;0,87;0;0;NA;NA;NA;NA
"São José";"SC";3;1,03;1;0,33;0,39;NA;NA;NA
"São José das Missões";"RS";2;1,54;1;0,5;1,11;NA;NA;NA
"São José de Caiana";"PB";1;0,77;0;0;NA;1;1;0,77
"São José de Espinharas";"PB";1;0,25;1;1;0,25;NA;NA;NA
"São José de Mipibu";"RN";1;0,25;0;0;NA;NA;NA;NA
"São José de Ribamar";"MA";3;1,49;0;0;NA;2;0,67;0,51
"São José do Alegre";"MG";1;0,82;0;0;NA;1;1;0,82
"São José do Divino";"PI";1;0,55;0;0;NA;NA;NA;NA
"São José do Egito";"PE";1;2,31;0;0;NA;NA;NA;NA
"São José do Goiabal";"MG";1;0,58;0;0;NA;NA;NA;NA
"São José do Jacuípe";"BA";1;0,62;0;0;NA;1;1;0,62
"São José do Norte";"RS";1;0,99;0;0;NA;1;1;0,99
"São José do Piauí";"PI";1;0,43;1;1;0,43;NA;NA;NA
"São José do Povo";"MT";1;0,42;0;0;NA;NA;NA;NA
"São José do Rio Preto";"SP";1;1,11;0;0;NA;1;1;1,11
"São José dos Campos";"SP";3;8,38;0;0;NA;NA;NA;NA
"São José dos Pinhais";"PR";3;0,96;0;0;NA;NA;NA;NA
"São José dos Quatro Marcos";"MT";1;1,03;1;1;1,03;NA;NA;NA
"São Leopoldo";"RS";5;1,94;0;0;NA;1;0,2;0,52
"São Lourenço do Oeste";"SC";1;1,49;0;0;NA;1;1;1,49
"São Lourenço do Sul";"RS";2;2,23;0;0;NA;1;0,5;1,03
"São Luís";"MA";16;8,78;12;0,75;6,1;NA;NA;NA
"São Luís de Montes Belos";"GO";1;0,34;1;1;0,34;NA;NA;NA
"São Luís do Curu";"CE";1;0,42;0;0;NA;1;1;0,42
"São Luíz do Norte";"GO";1;1,11;0;0;NA;NA;NA;NA
"São Manuel";"SP";1;1,75;1;1;1,75;NA;NA;NA
"São Mateus";"ES";3;2,55;0;0;NA;NA;NA;NA
"São Mateus do Sul";"PR";1;1,34;0;0;NA;NA;NA;NA
"São Miguel Arcanjo";"SP";2;1,53;1;0,5;0,6;1;0,5;0,93
"São Miguel da Boa Vista";"SC";1;0,42;0;0;NA;NA;NA;NA
"São Miguel das Matas";"BA";1;0,49;0;0;NA;1;1;0,49
"São Miguel de Taipu";"PB";1;0,85;0;0;NA;1;1;0,85
"São Miguel do Guamá";"PA";3;3,39;0;0;NA;3;1;3,39
"São Miguel do Guaporé";"RO";1;0,52;0;0;NA;NA;NA;NA
"São Miguel do Passa Quatro";"GO";1;0,37;0;0;NA;NA;NA;NA
"São Miguel do Tapuio";"PI";1;2,12;0;0;NA;1;1;2,12
"São Miguel do Tocantins";"TO";1;0,89;0;0;NA;1;1;0,89
"São Miguel dos Campos";"AL";3;1,41;0;0;NA;NA;NA;NA
"São Paulo";"SP";18;5,26;0;0;NA;1;0,06;0,21
"São Pedro da Água Branca";"MA";1;1,78;0;0;NA;1;1;1,78
"São Pedro da Aldeia";"RJ";3;0,91;0;0;NA;NA;NA;NA
"São Pedro das Missões";"RS";1;0,9;0;0;NA;NA;NA;NA
"São Pedro do Piauí";"PI";1;0,88;1;1;0,88;NA;NA;NA
"São Rafael";"RN";1;0,93;0;0;NA;1;1;0,93
"São Raimundo Nonato";"PI";4;5,26;0;0;NA;NA;NA;NA
"São Roberto";"MA";4;1,02;0;0;NA;NA;NA;NA
"São Romão";"MG";1;1,86;0;0;NA;1;1;1,86
"São Roque de Minas";"MG";1;0,73;0;0;NA;1;1;0,73
"São Sebastião";"AL";1;0,88;0;0;NA;NA;NA;NA
"São Sebastião de Lagoa de Roça";"PB";1;1,75;0;0;NA;1;1;1,75
"São Sebastião do Alto";"RJ";1;0,7;0;0;NA;NA;NA;NA
"São Sebastião do Anta";"MG";1;1,07;0;0;NA;NA;NA;NA
"São Sebastião do Maranhão";"MG";1;1,23;0;0;NA;NA;NA;NA
"São Sebastião do Paraíso";"MG";1;0,47;0;0;NA;NA;NA;NA
"São Sebastião do Tocantins";"TO";1;0,44;0;0;NA;1;1;0,44
"São Sepé";"RS";1;0,91;0;0;NA;1;1;0,91
"São Vicente";"SP";7;6,23;0;0;NA;4;0,57;2,52
"São Vicente Ferrer";"MA";1;1,47;1;1;1,47;NA;NA;NA
"Sapé";"PB";1;1,48;0;0;NA;1;1;1,48
"Sapucaia do Sul";"RS";2;2,77;2;1;2,77;NA;NA;NA
"Sátiro Dias";"BA";1;0,81;1;1;0,81;NA;NA;NA
"Satubinha";"MA";1;1,78;0;0;NA;1;1;1,78
"Seabra";"BA";2;1,05;0;0;NA;2;1;1,05
"Sebastião Barros";"PI";1;1,15;0;0;NA;NA;NA;NA
"Sebastião Laranjeiras";"BA";1;0,49;0;0;NA;1;1;0,49
"Senador Alexandre Costa";"MA";1;0,48;0;0;NA;NA;NA;NA
"Senador Canedo";"GO";3;3,19;0;0;NA;2;0,67;2,4
"Senador Georgino Avelino";"RN";1;0,62;0;0;NA;1;1;0,62
"Senador Guiomard";"AC";1;1,05;0;0;NA;NA;NA;NA
"Senador José Bento";"MG";1;0,83;0;0;NA;1;1;0,83
"Senador La Rocque";"MA";1;1,47;1;1;1,47;NA;NA;NA
"Senador Pompeu";"CE";1;0,7;0;0;NA;NA;NA;NA
"Sengés";"PR";1;1,01;0;0;NA;1;1;1,01
"Senhor do Bonfim";"BA";2;2,84;0;0;NA;NA;NA;NA
"Senhora dos Remédios";"MG";1;0,25;1;1;0,25;NA;NA;NA
"Sento Sé";"BA";3;1,61;0;0;NA;3;1;1,61
"Seridó";"PB";1;0,85;0;0;NA;1;1;0,85
"Seringueiras";"RO";1;1,53;0;0;NA;1;1;1,53
"Serra";"ES";8;6,61;6;0,75;5,34;NA;NA;NA
"Serra Branca";"PB";1;1,83;0;0;NA;NA;NA;NA
"Serra da Raiz";"PB";1;0,41;1;1;0,41;NA;NA;NA
"Serra de São Bento";"RN";1;0,85;0;0;NA;NA;NA;NA
"Serra do Ramalho";"BA";1;0,27;0;0;NA;NA;NA;NA
"Serra dos Aimorés";"MG";1;0,84;0;0;NA;1;1;0,84
"Serra Dourada";"BA";1;1,82;0;0;NA;1;1;1,82
"Serra Preta";"BA";1;0,49;0;0;NA;1;1;0,49
"Serra Talhada";"PE";2;4,91;0;0;NA;NA;NA;NA
"Serrana";"SP";1;0,17;0;0;NA;NA;NA;NA
"Serrano do Maranhão";"MA";1;0,47;0;0;NA;1;1;0,47
"Serranópolis";"GO";1;1,11;0;0;NA;NA;NA;NA
"Serranópolis de Minas";"MG";1;0,15;0;0;NA;NA;NA;NA
"Serrinha";"BA";5;3,69;0;0;NA;5;1;3,69
"Serrinha";"RN";1;1,11;0;0;NA;1;1;1,11
"Serrinha dos Pintos";"RN";1;2,18;0;0;NA;NA;NA;NA
"Serrita";"PE";1;0,45;0;0;NA;NA;NA;NA
"Serrolândia";"BA";1;1,22;0;0;NA;1;1;1,22
"Sertânia";"PE";1;0,85;0;0;NA;1;1;0,85
"Sertão";"RS";1;2,12;1;1;2,12;NA;NA;NA
"Sete Lagoas";"MG";2;0,54;0;0;NA;NA;NA;NA
"Severínia";"SP";1;1,04;0;0;NA;NA;NA;NA
"Siderópolis";"SC";1;1,11;0;0;NA;1;1;1,11
"Sigefredo Pacheco";"PI";1;0,48;0;0;NA;NA;NA;NA
"Silvânia";"GO";1;0,43;0;0;NA;1;1;0,43
"Silvanópolis";"TO";1;1,88;0;0;NA;1;1;1,88
"Simão Dias";"SE";1;1,86;0;0;NA;NA;NA;NA
"Simonésia";"MG";2;0,67;1;0,5;0,49;NA;NA;NA
"Sinop";"MT";3;3,21;0;0;NA;NA;NA;NA
"Siqueira Campos";"PR";1;0,37;0;0;NA;NA;NA;NA
"Sítio do Mato";"BA";1;0,27;0;0;NA;NA;NA;NA
"Sítio do Quinto";"BA";1;0,49;1;1;0,49;NA;NA;NA
"Sítio Novo";"MA";3;2,52;0;0;NA;1;0,33;0,97
"Sítio Novo";"RN";3;2,66;0;0;NA;3;1;2,66
"Sobrado";"PB";1;0,65;0;0;NA;NA;NA;NA
"Sobral";"CE";6;10,76;0;0;NA;NA;NA;NA
"Socorro do Piauí";"PI";1;0,41;0;0;NA;1;1;0,41
"Solonópole";"CE";2;2,6;0;0;NA;NA;NA;NA
"Sorriso";"MT";2;1,06;1;0,5;0,53;NA;NA;NA
"Soure";"PA";1;0,91;0;0;NA;NA;NA;NA
"Sousa";"PB";3;3,67;0;0;NA;3;1;3,67
"Souto Soares";"BA";2;1,18;1;0,5;0,69;1;0,5;0,49
"Sucupira do Norte";"MA";3;2,07;2;0,67;1,23;1;0,33;0,85
"Sucupira do Riachão";"MA";6;2,75;0;0;NA;NA;NA;NA
"Sumaré";"SP";1;0,92;1;1;0,92;NA;NA;NA
"Sumé";"PB";1;0,38;0;0;NA;NA;NA;NA
"Surubim";"PE";1;0,56;0;0;NA;NA;NA;NA
"Suzano";"SP";2;3,1;0;0;NA;1;0,5;0,43
"Tabaporã";"MT";1;1,49;1;1;1,49;NA;NA;NA
"Tabatinga";"AM";5;3,38;0;0;NA;4;0,8;2,31
"Tabocas do Brejo Velho";"BA";2;1,25;0;0;NA;NA;NA;NA
"Taboleiro Grande";"RN";1;0,88;0;0;NA;NA;NA;NA
"Tabuleiro do Norte";"CE";1;0,29;0;0;NA;NA;NA;NA
"Tacima";"PB";1;0,81;0;0;NA;NA;NA;NA
"Tacuru";"MS";1;1,42;0;0;NA;NA;NA;NA
"Taguatinga";"TO";2;1,18;0;0;NA;1;0,5;0,42
"Tailândia";"PA";3;1,56;0;0;NA;3;1;1,56
"Taiobeiras";"MG";2;1,46;1;0,5;0,59;NA;NA;NA
"Taipu";"RN";1;1,12;0;0;NA;NA;NA;NA
"Tamarana";"PR";1;0,62;1;1;0,62;NA;NA;NA
"Tamboara";"PR";1;0,88;0;0;NA;NA;NA;NA
"Tangará";"RN";1;0,77;0;0;NA;NA;NA;NA
"Tangará da Serra";"MT";4;3,77;0;0;NA;2;0,5;1,06
"Tanque d'Arca";"AL";1;0,56;0;0;NA;NA;NA;NA
"Tapejara";"RS";1;1,09;0;0;NA;NA;NA;NA
"Taperoá";"BA";1;0,48;0;0;NA;1;1;0,48
"Taquaral de Goiás";"GO";1;1,33;0;0;NA;NA;NA;NA
"Taquarana";"AL";1;1,3;1;1;1,3;NA;NA;NA
"Taquari";"RS";1;0,49;0;0;NA;1;1;0,49
"Taquaritinga";"SP";1;0,46;0;0;NA;NA;NA;NA
"Taquaritinga do Norte";"PE";1;1,82;0;0;NA;NA;NA;NA
"Tarauacá";"AC";1;0,92;0;0;NA;1;1;0,92
"Tarumã";"SP";1;1,5;0;0;NA;1;1;1,5
"Tatuí";"SP";3;2,32;1;0,33;1,47;2;0,67;0,86
"Tauá";"CE";4;5,96;1;0,25;1,16;NA;NA;NA
"Taubaté";"SP";3;1,77;0;0;NA;NA;NA;NA
"Tavares";"PB";1;1,82;1;1;1,82;NA;NA;NA
"Tefé";"AM";12;7,72;0;0;NA;NA;NA;NA
"Teixeira";"PB";1;0,42;1;1;0,42;NA;NA;NA
"Teixeira de Freitas";"BA";7;5,51;0;0;NA;2;0,29;2,65
"Tejuçuoca";"CE";2;1,86;0;0;NA;NA;NA;NA
"Telêmaco Borba";"PR";1;0,29;0;0;NA;NA;NA;NA
"Tenente Laurentino Cruz";"RN";1;0,84;0;0;NA;NA;NA;NA
"Tenente Portela";"RS";1;0,47;0;0;NA;NA;NA;NA
"Teodoro Sampaio";"SP";1;1,47;0;0;NA;1;1;1,47
"Teófilo Otoni";"MG";5;2,36;0;0;NA;1;0,2;0,47
"Teolândia";"BA";2;0,98;0;0;NA;2;1;0,98
"Teresina";"PI";19;19,97;1;0,05;2,24;4;0,21;5,8
"Terezinha";"PE";1;1,35;0;0;NA;1;1;1,35
"Terra Alta";"PA";1;1,43;1;1;1,43;NA;NA;NA
"Terra Nova";"BA";1;0,97;0;0;NA;1;1;0,97
"Terra Santa";"PA";1;0,57;0;0;NA;NA;NA;NA
"Teutônia";"RS";1;0,45;0;0;NA;1;1;0,45
"Tianguá";"CE";2;3,81;0;0;NA;NA;NA;NA
"Tibagi";"PR";1;0,45;0;0;NA;NA;NA;NA
"Timbaúba";"PE";1;0,41;0;0;NA;NA;NA;NA
"Timbiras";"MA";2;1,62;0;0;NA;1;0,5;0,98
"Timon";"MA";3;1,47;2;0,67;0,98;NA;NA;NA
"Timóteo";"MG";2;0,66;0;0;NA;NA;NA;NA
"Tiros";"MG";1;0,24;0;0;NA;NA;NA;NA
"Tobias Barreto";"SE";3;4,45;0;0;NA;2;0,67;3,52
"Tocantínia";"TO";2;3,26;1;0,5;1,98;1;0,5;1,29
"Toledo";"PR";3;0,94;1;0,33;0,25;NA;NA;NA
"Tomé-Açu";"PA";8;3,31;0;0;NA;1;0,12;0,55
"Toritama";"PE";2;1,84;1;0,5;1,42;1;0,5;0,42
"Touros";"RN";1;0,38;0;0;NA;1;1;0,38
"Tracuateua";"PA";7;2,71;1;0,14;0,63;3;0,43;0,74
"Traipu";"AL";2;1,84;0;0;NA;NA;NA;NA
"Trairão";"PA";1;0,8;0;0;NA;1;1;0,8
"Trairi";"CE";1;0,51;0;0;NA;NA;NA;NA
